"Symbol","Index","Open","High","Low","Close","Volume"
MSFT,2016-10-15,57.12,57.19,57.12,57.17,632043
MSFT,2016-10-16,57.12,57.48,57.12,57.36,702592
MSFT,2016-10-17,57.34,57.43,57.34,57.35,179819
MSFT,2016-10-18,57.285,57.38,57.285,57.3459,268666
MSFT,2016-10-19,57.28,57.395,57.28,57.285,490467
MSFT,2016-10-20,57.26,57.345,57.26,57.275,222554
MSFT,2016-10-21,57.27,57.3,57.27,57.3,135197
MSFT,2016-10-22,57.285,57.33,57.285,57.315,167085
MSFT,2016-10-23,57.315,57.5,57.315,57.49,157321
MSFT,2016-10-24,57.46,57.54,57.46,57.53,198291
MSFT,2016-10-25,57.465,57.54,57.465,57.47,210129
MSFT,2016-10-26,57.4703,57.56,57.4703,57.53,127361
MSFT,2016-10-27,57.5,57.55,57.5,57.55,83760
MSFT,2016-10-28,57.51,57.57,57.51,57.535,162981
MSFT,2016-10-29,57.48,57.54,57.48,57.5,140824
MSFT,2016-10-30,57.48,57.52,57.48,57.48,188474
MSFT,2016-10-31,57.46,57.52,57.46,57.48,141480
MSFT,2016-11-01,57.43,57.48,57.43,57.4544,244552
MSFT,2016-11-02,57.45,57.49,57.45,57.46,232833
MSFT,2016-11-03,57.46,57.52,57.46,57.51,300779
MSFT,2016-11-04,57.45,57.51,57.45,57.495,169860
MSFT,2016-11-05,57.4942,57.56,57.4942,57.54,176483
MSFT,2016-11-06,57.53,57.58,57.53,57.555,137367
MSFT,2016-11-07,57.52,57.6,57.52,57.58,190102
MSFT,2016-11-08,57.55,57.6,57.55,57.59,79318
MSFT,2016-11-09,57.56,57.595,57.56,57.5801,98565
MSFT,2016-11-10,57.56,57.63,57.56,57.565,141443
MSFT,2016-11-11,57.545,57.58,57.545,57.55,51222
MSFT,2016-11-12,57.55,57.58,57.55,57.575,21832
MSFT,2016-11-13,57.54,57.589,57.54,57.58,67117
MSFT,2016-11-14,57.57,57.59,57.57,57.589,49126
MSFT,2016-11-15,57.585,57.65,57.585,57.65,69580
MSFT,2016-11-16,57.61,57.65,57.61,57.6199,78167
MSFT,2016-11-17,57.6,57.64,57.6,57.635,47565
MSFT,2016-11-18,57.635,57.66,57.635,57.66,87463
MSFT,2016-11-19,57.65,57.68,57.65,57.665,81097
MSFT,2016-11-20,57.66,57.72,57.66,57.68,158885
MSFT,2016-11-21,57.64,57.68,57.64,57.67,54086
MSFT,2016-11-22,57.64,57.69,57.64,57.675,215834
MSFT,2016-11-23,57.64,57.7,57.64,57.7,76560
MSFT,2016-11-24,57.68,57.74,57.68,57.692,87427
MSFT,2016-11-25,57.63,57.71,57.63,57.635,133369
MSFT,2016-11-26,57.61,57.66,57.61,57.615,145607
MSFT,2016-11-27,57.58,57.63,57.58,57.615,227139
MSFT,2016-11-28,57.58,57.62,57.58,57.59,117618
MSFT,2016-11-29,57.56,57.62,57.56,57.58,173704
MSFT,2016-11-30,57.56,57.6,57.56,57.5733,136488
MSFT,2016-12-01,57.52,57.59,57.52,57.54,139149
MSFT,2016-12-02,57.48,57.54,57.48,57.48,193282
MSFT,2016-12-03,57.465,57.55,57.465,57.534,123967
MSFT,2016-12-04,57.525,57.585,57.525,57.585,69808
MSFT,2016-12-05,57.55,57.58,57.55,57.55,123508
MSFT,2016-12-06,57.53,57.6,57.53,57.575,77608
MSFT,2016-12-07,57.545,57.59,57.545,57.58,94567
MSFT,2016-12-08,57.58,57.64,57.58,57.63,66660
MSFT,2016-12-09,57.62,57.67,57.62,57.66,93220
MSFT,2016-12-10,57.62,57.655,57.62,57.655,113597
MSFT,2016-12-11,57.65,57.67,57.65,57.65,125805
MSFT,2016-12-12,57.6,57.67,57.6,57.62,137559
MSFT,2016-12-13,57.585,57.64,57.585,57.595,73870
MSFT,2016-12-14,57.56,57.61,57.56,57.56,120175
MSFT,2016-12-15,57.4528,57.56,57.4528,57.48,220761
MSFT,2016-12-16,57.455,57.5,57.455,57.485,123716
MSFT,2016-12-17,57.47,57.52,57.47,57.47,63387
MSFT,2016-12-18,57.455,57.49,57.455,57.47,85916
MSFT,2016-12-19,57.445,57.48,57.445,57.4572,52779
MSFT,2016-12-20,57.415,57.455,57.415,57.4207,125009
MSFT,2016-12-21,57.39,57.42,57.39,57.39,50668
MSFT,2016-12-22,57.37,57.41,57.37,57.3766,53363
MSFT,2016-12-23,57.37,57.41,57.37,57.395,71859
MSFT,2016-12-24,57.355,57.4,57.355,57.37,63522
MSFT,2016-12-25,57.35,57.38,57.35,57.36,81035
MSFT,2016-12-26,57.32,57.365,57.32,57.32,145895
MSFT,2016-12-27,57.285,57.34,57.285,57.305,85376
MSFT,2016-12-28,57.291,57.36,57.291,57.345,94296
MSFT,2016-12-29,57.305,57.355,57.305,57.32,52783
MSFT,2016-12-30,57.295,57.37,57.295,57.3601,102548
MSFT,2016-12-31,57.33,57.37,57.33,57.3643,41972
MSFT,2017-01-01,57.325,57.38,57.325,57.375,60554
MSFT,2017-01-02,57.37,57.4,57.37,57.4,71645
MSFT,2017-01-03,57.4,57.42,57.4,57.4148,112294
MSFT,2017-01-04,57.33,57.42,57.33,57.3552,124210
MSFT,2017-01-05,57.33,57.38,57.33,57.37,112891
MSFT,2017-01-06,57.3,57.38,57.3,57.3031,297410
MSFT,2017-01-07,57.24,57.305,57.24,57.27,114602
MSFT,2017-01-08,57.25,57.29,57.25,57.2833,53514
MSFT,2017-01-09,57.28,57.3,57.28,57.295,39211
MSFT,2017-01-10,57.275,57.31,57.275,57.29,35938
MSFT,2017-01-11,57.275,57.305,57.275,57.3,50546
MSFT,2017-01-12,57.29,57.325,57.29,57.32,83020
MSFT,2017-01-13,57.31,57.345,57.31,57.34,51547
MSFT,2017-01-14,57.34,57.36,57.34,57.35,89452
MSFT,2017-01-15,57.335,57.38,57.335,57.37,78646
MSFT,2017-01-16,57.34,57.39,57.34,57.34,61155
MSFT,2017-01-17,57.345,57.415,57.345,57.4,55362
MSFT,2017-01-18,57.38,57.42,57.38,57.39,85445
MSFT,2017-01-19,57.385,57.48,57.385,57.45,262600
MSFT,2017-01-20,57.44,57.48,57.44,57.4652,52090
MSFT,2017-01-21,57.44,57.47,57.44,57.445,62070
MSFT,2017-01-22,57.42,57.47,57.42,57.42,114802
MSFT,2017-01-23,57.425,57.45,57.425,57.44,45129
MSFT,2017-01-24,57.435,57.47,57.435,57.47,38951
MSFT,2017-01-25,57.445,57.47,57.445,57.455,67192
MSFT,2017-01-26,57.46,57.48,57.46,57.475,27268
MSFT,2017-01-27,57.45,57.4792,57.45,57.455,68189
MSFT,2017-01-28,57.45,57.465,57.45,57.455,54943
MSFT,2017-01-29,57.44,57.46,57.44,57.44,24152
MSFT,2017-01-30,57.43,57.4458,57.43,57.44,27632
MSFT,2017-01-31,57.39,57.45,57.39,57.4035,94738
MSFT,2017-02-01,57.4,57.45,57.4,57.44,22931
MSFT,2017-02-02,57.4333,57.5,57.4333,57.495,102149
MSFT,2017-02-03,57.4634,57.5,57.4634,57.49,36467
MSFT,2017-02-04,57.47,57.505,57.47,57.475,32918
MSFT,2017-02-05,57.455,57.49,57.455,57.465,31427
MSFT,2017-02-06,57.445,57.47,57.445,57.455,78035
MSFT,2017-02-07,57.44,57.46,57.44,57.4442,95535
MSFT,2017-02-08,57.44,57.48,57.44,57.4723,75893
MSFT,2017-02-09,57.46,57.5,57.46,57.46,143353
MSFT,2017-02-10,57.46,57.51,57.46,57.505,115008
MSFT,2017-02-11,57.49,57.525,57.49,57.52,84396
MSFT,2017-02-12,57.51,57.54,57.51,57.51,64365
MSFT,2017-02-13,57.49,57.57,57.49,57.5,161128
MSFT,2017-02-14,57.485,57.57,57.485,57.565,93925
MSFT,2017-02-15,57.56,57.64,57.56,57.575,177522
MSFT,2017-02-16,57.515,57.6,57.515,57.55,161067
MSFT,2017-02-17,57.5,57.54,57.5,57.5258,77896
MSFT,2017-02-18,57.48,57.53,57.48,57.5,77537
MSFT,2017-02-19,57.485,57.51,57.485,57.5,54786
MSFT,2017-02-20,57.47,57.51,57.47,57.475,92921
MSFT,2017-02-21,57.39,57.49,57.39,57.41,256192
MSFT,2017-02-22,57.41,57.4664,57.41,57.45,44857
MSFT,2017-02-23,57.39,57.46,57.39,57.42,53268
MSFT,2017-02-24,57.39,57.44,57.39,57.4,33156
MSFT,2017-02-25,57.41,57.46,57.41,57.445,22257
MSFT,2017-02-26,57.435,57.46,57.435,57.454,13496
MSFT,2017-02-27,57.43,57.475,57.43,57.43,47734
MSFT,2017-02-28,57.37,57.43,57.37,57.385,74972
MSFT,2017-03-01,57.38,57.43,57.38,57.41,72644
MSFT,2017-03-02,57.36,57.41,57.36,57.39,135074
MSFT,2017-03-03,57.37,57.41,57.37,57.3861,48513
MSFT,2017-03-04,57.33,57.39,57.33,57.3401,41038
MSFT,2017-03-05,57.33,57.36,57.33,57.36,120562
MSFT,2017-03-06,57.33,57.36,57.33,57.355,60436
MSFT,2017-03-07,57.34,57.3798,57.34,57.35,117531
MSFT,2017-03-08,57.34,57.395,57.34,57.39,41383
MSFT,2017-03-09,57.39,57.44,57.39,57.42,54840
MSFT,2017-03-10,57.42,57.46,57.42,57.449,74981
MSFT,2017-03-11,57.44,57.4942,57.44,57.49,52292
MSFT,2017-03-12,57.45,57.49,57.45,57.45,48770
MSFT,2017-03-13,57.44,57.4999,57.44,57.4923,47833
MSFT,2017-03-14,57.475,57.52,57.475,57.52,70490
MSFT,2017-03-15,57.49,57.525,57.49,57.4968,58499
MSFT,2017-03-16,57.49,57.515,57.49,57.495,38497
MSFT,2017-03-17,57.48,57.51,57.48,57.5,44531
MSFT,2017-03-18,57.48,57.5099,57.48,57.49,44620
MSFT,2017-03-19,57.49,57.515,57.49,57.495,30215
MSFT,2017-03-20,57.49,57.51,57.49,57.495,26532
MSFT,2017-03-21,57.47,57.505,57.47,57.48,40077
MSFT,2017-03-22,57.465,57.49,57.465,57.49,72138
MSFT,2017-03-23,57.46,57.49,57.46,57.46,49673
MSFT,2017-03-24,57.46,57.5,57.46,57.49,45831
MSFT,2017-03-25,57.48,57.52,57.48,57.485,46754
MSFT,2017-03-26,57.482,57.53,57.482,57.51,173875
MSFT,2017-03-27,57.48,57.53,57.48,57.51,117448
MSFT,2017-03-28,57.48,57.53,57.48,57.485,70274
MSFT,2017-03-29,57.43,57.49,57.43,57.465,139157
MSFT,2017-03-30,57.465,57.51,57.465,57.51,122686
MSFT,2017-03-31,57.49,57.52,57.49,57.5,139110
MSFT,2017-04-01,57.48,57.51,57.48,57.495,71611
MSFT,2017-04-02,57.4925,57.5301,57.4925,57.52,97231
MSFT,2017-04-03,57.5,57.55,57.5,57.545,102381
MSFT,2017-04-04,57.523,57.555,57.523,57.545,101063
MSFT,2017-04-05,57.54,57.565,57.54,57.5601,81362
MSFT,2017-04-06,57.55,57.57,57.55,57.555,64570
MSFT,2017-04-07,57.52,57.575,57.52,57.52,71741
MSFT,2017-04-08,57.48,57.53,57.48,57.495,110173
MSFT,2017-04-09,57.47,57.5,57.47,57.48,78150
MSFT,2017-04-10,57.46,57.5,57.46,57.47,130205
MSFT,2017-04-11,57.46,57.49,57.46,57.49,68313
MSFT,2017-04-12,57.48,57.5001,57.48,57.49,73004
MSFT,2017-04-13,57.48,57.505,57.48,57.505,69542
MSFT,2017-04-14,57.485,57.51,57.485,57.51,133110
MSFT,2017-04-15,57.505,57.575,57.505,57.547,125736
MSFT,2017-04-16,57.53,57.55,57.53,57.54,94954
MSFT,2017-04-17,57.52,57.5552,57.52,57.545,98959
MSFT,2017-04-18,57.54,57.59,57.54,57.58,127454
MSFT,2017-04-19,57.55,57.6,57.55,57.57,145581
MSFT,2017-04-20,57.56,57.59,57.56,57.57,94972
MSFT,2017-04-21,57.56,57.61,57.56,57.595,316382
MSFT,2017-04-22,57.59,57.62,57.59,57.605,197259
MSFT,2017-04-23,57.55,57.61,57.55,57.575,216608
MSFT,2017-04-24,57.54,57.58,57.54,57.545,273011
MSFT,2017-04-25,57.54,57.56,57.54,57.54,131417
MSFT,2017-04-26,57.52,57.56,57.52,57.53,356943
MSFT,2017-04-27,57.49,57.54,57.49,57.51,353050
MSFT,2017-04-28,57.42,57.52,57.42,57.42,3619346
